Proteins,ECC,GO,SubCell
YNL067W,77.88653417,19.06666667,0
YLR029C,77.88653417,19.06666667,0
YMR121C,77.88653417,19.06666667,0
YMR194W,77.88653417,19.06666667,0
YML073C,77.88653417,19.06666667,0
YIL018W,77.88653417,19.06666667,0
YHR141C,77.88653417,19.06666667,0
YDL184C,77.88653417,19.06666667,0
YKR094C,77.88653417,19.06666667,0
YLL045C,77.88653417,19.06666667,0
YOL120C,77.88653417,19.06666667,0
YDL082W,77.88653417,19.06666667,0
YPL079W,77.88653417,19.06666667,0
YPL143W,77.88653417,19.06666667,0
YBR031W,77.88653417,19.06666667,0
YJL177W,77.88653417,19.06666667,0
YFL034CA,77.88653417,19.06666667,0
YOR312C,77.88653417,19.06666667,0
YPR043W,77.88653417,19.06666667,0
YDL133CA,77.88653417,19.06666667,0
YDR471W,77.88653417,19.06666667,0
YGL031C,77.88653417,19.06666667,0
YDL136W,77.88653417,19.06666667,0
YGL103W,77.88653417,19.06666667,0
YDL191W,77.88653417,19.06666667,0
YGL076C,77.88653417,19.06666667,0
YKL006W,77.88653417,19.06666667,0
YJR094WA,77.88653417,19.06666667,0
YBR191W,77.88653417,19.06666667,0
YPL198W,77.88653417,19.06666667,0
YNL069C,77.88653417,19.06666667,0
YIL133C,77.88653417,19.06666667,0
YNL162W,77.88653417,19.06666667,0
YPL220W,77.88653417,19.06666667,0
YIL148W,77.88653417,19.06666667,0
YER056CA,77.88653417,19.06666667,0
YFR032CA,77.88653417,19.06666667,0
YHR010W,77.88653417,19.06666667,0
YOR234C,77.88653417,19.06666667,0
YER117W,77.85524914,19.06666667,0
YHL033C,77.44567292,19.06666667,0
YDR500C,77.44567292,19.06666667,0
YLR406C,77.42342065,19.06666667,0
YDR418W,77.42342065,19.06666667,0
YFR031CA,77.42197822,19.06666667,0
YDR012W,77.42145436,19.06666667,0
YJL189W,77.39887985,19.06666667,0
YGL147C,77.39887985,19.06666667,0
YMR142C,77.39887985,19.06666667,0
YBL027W,77.39887985,19.06666667,0
YLR344W,77.39887985,19.06666667,0
YGR034W,77.39887985,19.06666667,0
YLR448W,77.39887985,19.06666667,0
YHL001W,77.39887985,19.06666667,0
YMR242C,77.39887985,19.06666667,0
YIL052C,77.39887985,19.06666667,0
YKL180W,77.39887985,19.06666667,0
YLR185W,77.39887985,19.06666667,0
YLR075W,77.39887985,19.06666667,0
YDL075W,76.74437813,19.06666667,0
YBL087C,76.7161072,19.06666667,0
YGL030W,76.7161072,19.06666667,0
YEL054C,76.69773562,19.06666667,0
YOR063W,76.6971684,19.06666667,0
YOR061W,9.919328103,146.5887363,0
YGL135W,75.92975017,19.06666667,0
YLR325C,75.86082701,19.06666667,0
YNL113W,14.20220529,101.5357143,0
YCR003W,23.95813825,59.08333333,0
YPL249CA,73.39527376,19.06666667,0
YBR247C,9.716287925,140.1693973,0
YGR005C,6.67462781,201,36
YDR404C,8.903164556,148.7309524,0
